user_id,text_id,quiz_type,session_number,score,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20
4,10,PRE_TEST,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,PRE_TEST,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,PRE_TEST,0,30.0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
7,10,PRE_TEST,0,40.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8,10,PRE_TEST,0,55.00000000000001,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0
9,10,PRE_TEST,0,15.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,ADAPTIVE,0,65.0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1
10,10,PRE_TEST,0,70.0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1
10,10,ADAPTIVE,0,85.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
10,10,ADAPTIVE,1,80.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0
11,10,PRE_TEST,0,70.0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0
11,10,ADAPTIVE,0,75.0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
11,10,ADAPTIVE,1,65.0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0
11,10,ADAPTIVE,2,65.0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0
12,10,PRE_TEST,0,40.0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0
12,10,ADAPTIVE,0,40.0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
